season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0006,16197,ROSTER,2.41,2,2023 1.16,2025-12-13
2025,15,0006,14080,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,16283,ROSTER,4.7,2,2024 iEXT,2025-12-13
2025,15,0006,17036,ROSTER,0.96,4,2025 5.04,2025-12-13
2025,15,0006,15989,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0006,13347,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,11317,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0006,14840,INJURED_RESERVE,20.57,4,2023 iEXT,2025-12-13
2025,15,0006,16594,INJURED_RESERVE,2.24,3,2024 1.16,2025-12-13
2025,15,0006,17152,INJURED_RESERVE,0.9,3,2025 UDFA,2025-12-13
2025,15,0006,13263,TAXI_SQUAD,1.0,1,2025 UFA,2025-12-13
2025,15,0007,15284,ROSTER,14.87,5,2025 oEXT,2025-12-13
2025,15,0007,15711,ROSTER,8.42,1,2022 1.03,2025-12-13
2025,15,0007,15329,ROSTER,8.54,5,2024 iEXT,2025-12-13
2025,15,0007,16161,ROSTER,8.38,2,2023 1.02,2025-12-13
2025,15,0007,16230,ROSTER,1.45,2,2023 3.02,2025-12-13
2025,15,0007,16244,ROSTER,1.18,2,2023 4.02,2025-12-13
2025,15,0007,14472,ROSTER,1.1,1,2024 R/F,2025-12-13
2025,15,0007,16614,ROSTER,8.79,3,2024 1.01,2025-12-13
2025,15,0007,16692,ROSTER,1.4,3,2024 3.01,2025-12-13
2025,15,0007,16303,ROSTER,3.2,1,2025 oEXT,2025-12-13
2025,15,0007,16080,ROSTER,5.42,3,2025 oEXT,2025-12-13
2025,15,0007,16432,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0007,12217,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0007,15869,ROSTER,1.09,1,2025 ERFA,2025-12-13
2025,15,0007,17137,ROSTER,1.74,4,2025 2.08,2025-12-13
2025,15,0007,17135,ROSTER,1.26,4,2025 3.07,2025-12-13
2025,15,0007,17159,ROSTER,1.05,4,2025 4.03,2025-12-13
2025,15,0007,17099,ROSTER,0.95,4,2025 5.10,2025-12-13
