season,week,franchise_id,player_id,contractInfo,status,salary,contractYear,as_of
2025,18,0005,16604,2024 3.06,INJURED_RESERVE,1.29,3,2026-01-01
2025,18,0005,16171,2023 2.03,INJURED_RESERVE,2.13,2,2026-01-01
2025,18,0005,17045,2025 2.09,INJURED_RESERVE,1.69,4,2026-01-01
2025,18,0005,17074,2025 1.03,INJURED_RESERVE,7.03,4,2026-01-01
2025,18,0005,13629,2025 UFA,INJURED_RESERVE,2.4,1,2026-01-01
2025,18,0005,17153,2025 4.09,INJURED_RESERVE,1.01,4,2026-01-01
2025,18,0005,13131,2025 UFA,INJURED_RESERVE,1.8,1,2026-01-01
2025,18,0005,13116,2023 oEXT,INJURED_RESERVE,37.71,4,2026-01-01
2025,18,0005,16662,2024 4.15,INJURED_RESERVE,1.02,2,2026-01-01
2025,18,0005,16014,2025 UFA,INJURED_RESERVE,1.9,1,2026-01-01
2025,18,0005,17184,2025 UDFA,INJURED_RESERVE,0.9,3,2026-01-01
2025,18,0005,16194,2023 2.04,INJURED_RESERVE,2.05,2,2026-01-01
2025,18,0005,15904,2025 UFA,INJURED_RESERVE,1.8,1,2026-01-01
2025,18,0005,15858,2025 UFA,INJURED_RESERVE,1.0,1,2026-01-01
2025,18,0005,13920,2025 UFA,INJURED_RESERVE,1.0,1,2026-01-01
2025,18,0006,14783,2024 iEXT,ROSTER,23.52,5,2026-01-01
2025,18,0006,15282,2024 iEXT,ROSTER,18.66,4,2026-01-01
2025,18,0006,15715,2025 iEXT,ROSTER,12.48,2,2026-01-01
2025,18,0006,15846,2025 iEXT,ROSTER,5.18,3,2026-01-01
2025,18,0006,15871,2022 5.02^,ROSTER,5.35,1,2026-01-01
2025,18,0006,14921,2023 SRFA,ROSTER,5.2,2,2026-01-01
2025,18,0006,16330,2023 5.18,ROSTER,1.04,2,2026-01-01
2025,18,0006,15761,2025 iEXT,ROSTER,7.25,4,2026-01-01
