season,week,franchise_id,player_id,contractInfo,status,contractYear,salary,as_of
2025,12,0005,16788,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0005,16604,2024 3.06,INJURED_RESERVE,3,1.29,2025-11-24
2025,12,0005,16171,2023 2.03,INJURED_RESERVE,2,2.13,2025-11-24
2025,12,0005,17045,2025 2.09,INJURED_RESERVE,4,1.69,2025-11-24
2025,12,0005,17074,2025 1.03,INJURED_RESERVE,4,7.03,2025-11-24
2025,12,0005,12772,2025 R/F,INJURED_RESERVE,2,1.0,2025-11-24
2025,12,0005,13629,2025 UFA,INJURED_RESERVE,1,2.4,2025-11-24
2025,12,0005,13697,2023 UFA,INJURED_RESERVE,2,3.09,2025-11-24
2025,12,0005,15089,2025 UFA,TAXI_SQUAD,1,1.0,2025-11-24
2025,12,0006,14783,2024 iEXT,ROSTER,5,23.52,2025-11-24
2025,12,0006,15282,2024 iEXT,ROSTER,4,18.66,2025-11-24
2025,12,0006,15715,2025 iEXT,ROSTER,2,12.48,2025-11-24
2025,12,0006,15846,2025 iEXT,ROSTER,3,5.18,2025-11-24
2025,12,0006,15871,2022 5.02^,ROSTER,1,5.35,2025-11-24
2025,12,0006,14921,2023 SRFA,ROSTER,2,5.2,2025-11-24
2025,12,0006,16330,2023 5.18,ROSTER,2,1.04,2025-11-24
2025,12,0006,15761,2025 iEXT,ROSTER,4,7.25,2025-11-24
2025,12,0006,14225,2024 iEXT,ROSTER,4,24.24,2025-11-24
2025,12,0006,14889,2024 UFA,ROSTER,1,3.14,2025-11-24
2025,12,0006,15452,2024 SRFA,ROSTER,2,5.38,2025-11-24
2025,12,0006,16649,2024 3.14,ROSTER,3,1.17,2025-11-24
2025,12,0006,13268,2025 ORFA4,ROSTER,1,3.41,2025-11-24
2025,12,0006,11247,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0006,17071,2025 1.04,ROSTER,4,6.11,2025-11-24
2025,12,0006,17134,2025 2.07,ROSTER,4,1.79,2025-11-24
2025,12,0006,17107,2025 2.11,ROSTER,4,1.6,2025-11-24
2025,12,0006,17146,2025 4.14,ROSTER,4,0.99,2025-11-24
2025,12,0006,17059,2025 5.09,ROSTER,4,0.95,2025-11-24
2025,12,0006,17064,2025 5.02,ROSTER,4,0.96,2025-11-24
2025,12,0006,16193,2025 UFA,ROSTER,1,3.5,2025-11-24
2025,12,0006,13633,2025 UFA,ROSTER,1,5.0,2025-11-24
2025,12,0006,15777,2025 UFA,ROSTER,2,2.38,2025-11-24
2025,12,0006,13681,2025 UFA,ROSTER,1,9.2,2025-11-24
2025,12,0006,15702,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0006,16654,2024 4.23,ROSTER,3,1.0,2025-11-24
2025,12,0006,15989,2025 UFA,ROSTER,1,1.1,2025-11-24
2025,12,0006,14918,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,12218,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,13418,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0006,15864,2025 iEXT,ROSTER,3,3.59,2025-11-24
2025,12,0006,17220,2025 UFA,ROSTER,1,1.1,2025-11-24
2025,12,0006,15390,2024 iEXT,ROSTER,3,1.87,2025-11-24
2025,12,0006,12744,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,16281,2023 5.10,ROSTER,2,1.06,2025-11-24
2025,12,0006,15388,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,7836,2025 UFA,ROSTER,1,10.0,2025-11-24
2025,12,0006,15833,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,16197,2023 1.16,ROSTER,2,2.41,2025-11-24
2025,12,0006,14080,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,16283,2024 iEXT,ROSTER,2,4.7,2025-11-24
2025,12,0006,17036,2025 5.04,ROSTER,4,0.96,2025-11-24
2025,12,0006,13263,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,17334,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0006,14840,2023 iEXT,INJURED_RESERVE,4,20.57,2025-11-24
2025,12,0006,16594,2024 1.16,INJURED_RESERVE,3,2.24,2025-11-24
2025,12,0006,17152,2025 UDFA,INJURED_RESERVE,3,0.9,2025-11-24
2025,12,0007,15284,2025 oEXT,ROSTER,5,14.87,2025-11-24
2025,12,0007,15711,2022 1.03,ROSTER,1,8.42,2025-11-24
2025,12,0007,15329,2024 iEXT,ROSTER,5,8.54,2025-11-24
2025,12,0007,16161,2023 1.02,ROSTER,2,8.38,2025-11-24
2025,12,0007,16230,2023 3.02,ROSTER,2,1.45,2025-11-24
2025,12,0007,16244,2023 4.02,ROSTER,2,1.18,2025-11-24
2025,12,0007,14472,2024 R/F,ROSTER,1,1.1,2025-11-24
2025,12,0007,16614,2024 1.01,ROSTER,3,8.79,2025-11-24
2025,12,0007,16692,2024 3.01,ROSTER,3,1.4,2025-11-24
2025,12,0007,16303,2025 oEXT,ROSTER,1,3.2,2025-11-24
2025,12,0007,16080,2025 oEXT,ROSTER,3,5.42,2025-11-24
2025,12,0007,16432,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0007,12217,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0007,15869,2025 ERFA,ROSTER,1,1.09,2025-11-24
2025,12,0007,17137,2025 2.08,ROSTER,4,1.74,2025-11-24
2025,12,0007,17135,2025 3.07,ROSTER,4,1.26,2025-11-24
2025,12,0007,17159,2025 4.03,ROSTER,4,1.05,2025-11-24
2025,12,0007,17099,2025 5.10,ROSTER,4,0.95,2025-11-24
2025,12,0007,17185,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0007,17181,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0007,12860,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0007,13635,2025 UFA,ROSTER,2,20.24,2025-11-24
2025,12,0007,15361,2025 UFA,ROSTER,1,3.0,2025-11-24
2025,12,0007,12741,2025 UFA,ROSTER,2,5.13,2025-11-24
2025,12,0007,15355,2025 UFA,ROSTER,2,6.75,2025-11-24
2025,12,0007,15445,2025 UFA,ROSTER,1,4.0,2025-11-24
2025,12,0007,16729,2025 UFA,ROSTER,2,3.04,2025-11-24
2025,12,0007,10703,2025 UFA,ROSTER,1,10.1,2025-11-24
2025,12,0007,15349,2025 UFA,ROSTER,2,8.55,2025-11-24
2025,12,0007,16719,2025 UFA,ROSTER,3,4.59,2025-11-24
2025,12,0007,15288,2025 UFA,ROSTER,1,2.0,2025-11-24
2025,12,0007,12782,2025 UFA,ROSTER,1,2.1,2025-11-24
2025,12,0007,14168,2025 UFA,ROSTER,1,2.6,2025-11-24
2025,12,0007,14207,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0007,16294,2025 UFA,ROSTER,1,6.6,2025-11-24
2025,12,0007,15884,2025 UFA,ROSTER,1,1.8,2025-11-24
