season,week,franchise_id,player_id,salary,contractInfo,status,contractYear
2022,22,0007,15777,0.86,2022 4.17,INJURED_RESERVE,3
2022,22,0007,15240,6.93,2021 1.02,INJURED_RESERVE,3
2022,22,0007,15903,0.77,2022 UDFA,INJURED_RESERVE,2
2022,22,0007,13608,9.7,2022 UFA,INJURED_RESERVE,1
2022,22,0007,12762,2.42,2020 UFA,INJURED_RESERVE,1
2022,22,0007,13306,1.4,2022 UFA,INJURED_RESERVE,1
2022,22,0008,7836,18.25,2019 EXT,ROSTER,2
2022,22,0008,13610,12.36,2021 EXT,ROSTER,3
2022,22,0008,14136,22.26,2022 iEXT,ROSTER,2
2022,22,0008,14887,2.41,2020 1.13,ROSTER,2
2022,22,0008,14852,1.32,2020 2.13,ROSTER,2
2022,22,0008,15381,1.35,2021 2.12,ROSTER,3
2022,22,0008,15346,1.2,2021 3.02,ROSTER,3
2022,22,0008,15364,0.98,2021 3.20,ROSTER,2
2022,22,0008,15259,0.92,2021 4.10,ROSTER,3
2022,22,0008,14104,2.82,2019 1.15+,ROSTER,1
2022,22,0008,13226,0.9,2022 R/F,ROSTER,2
2022,22,0008,11675,42.0,2022 TToff,ROSTER,1
2022,22,0008,13675,0.99,2022 ERFA,ROSTER,1
2022,22,0008,11772,0.99,2022 ERFA,ROSTER,1
2022,22,0008,15767,0.92,2022 4.08,ROSTER,4
2022,22,0008,15840,1.03,2022 3.13,ROSTER,4
2022,22,0008,14179,1.3,2022 UFA,ROSTER,1
2022,22,0008,11150,1.4,2022 UFA,ROSTER,1
2022,22,0008,12270,2.1,2022 UFA,ROSTER,2
2022,22,0008,11760,2.9,2022 UFA,ROSTER,1
2022,22,0008,15887,0.77,2022 UDFA,ROSTER,2
2022,22,0008,10260,0.9,2022 R/F,ROSTER,2
2022,22,0008,15384,0.88,2021 4.23,ROSTER,2
2022,22,0008,15860,0.88,2022 4.14,ROSTER,4
2022,22,0008,15872,0.77,2022 UDFA,ROSTER,2
2022,22,0008,11761,0.9,2022 R/F,ROSTER,2
2022,22,0008,14592,0.9,2022 R/F,ROSTER,1
2022,22,0008,9940,0.9,2022 UFA,ROSTER,1
2022,22,0008,12437,0.9,2022 UFA,ROSTER,1
2022,22,0008,14971,0.9,2022 UFA,ROSTER,1
2022,22,0008,10308,1.6,2022 UFA,ROSTER,1
2022,22,0008,14237,0.9,2022 UFA,ROSTER,1
2022,22,0008,12280,1.4,2022 UFA,ROSTER,1
2022,22,0008,15817,1.28,2022 2.15,ROSTER,4
2022,22,0008,10738,0.9,2022 UFA,ROSTER,1
2022,22,0008,15491,0.9,2022 UFA,ROSTER,1
2022,22,0008,15973,0.9,2022 UFA,ROSTER,1
2022,22,0008,14860,0.9,2022 UFA,ROSTER,1
2022,22,0008,16003,0.77,2022 UDFA,ROSTER,2
2022,22,0008,13676,0.9,2022 UFA,ROSTER,1
2022,22,0008,13637,1.3,2022 UFA,ROSTER,1
2022,22,0008,15723,0.77,2022 UDFA,ROSTER,3
2022,22,0008,12686,15.0,2022 B/R,ROSTER,2
2022,22,0008,13434,0.9,2022 UFA,ROSTER,1
2022,22,0008,15283,1.99,2021 1.16,INJURED_RESERVE,3
2022,22,0008,12697,0.9,2022 UFA,INJURED_RESERVE,1
2022,22,0008,15351,1.5,2021 2.08,INJURED_RESERVE,3
2022,22,0008,12756,3.33,2019 SRFA,INJURED_RESERVE,1
2022,22,0009,14805,1.54,2020 2.07,ROSTER,2
2022,22,0009,13189,5.5,2021 B/R,ROSTER,2
2022,22,0009,14158,3.51,2022 iEXT,ROSTER,3
2022,22,0009,15350,2.48,2021 1.12,ROSTER,3
2022,22,0009,13245,5.83,2021 UFA,ROSTER,1
2022,22,0009,15290,1.76,2021 2.03,ROSTER,3
2022,22,0009,12752,3.3,2021 B/R,ROSTER,2
2022,22,0009,12739,4.84,2021 UFA,ROSTER,2
2022,22,0009,13322,3.52,2021 UFA,ROSTER,1
2022,22,0009,12221,15.71,2019 EXT,ROSTER,2
2022,22,0009,14221,0.99,2022 ERFA,ROSTER,1
2022,22,0009,12779,3.99,2022 SRFA,ROSTER,2
2022,22,0009,15749,0.86,2022 5.03,ROSTER,3
2022,22,0009,15319,1.1,2021 3.08,ROSTER,3
2022,22,0009,13717,3.0,2022 UFA,ROSTER,3
2022,22,0009,14956,1.5,2022 UFA,ROSTER,2
2022,22,0009,13176,1.4,2022 UFA,ROSTER,1
2022,22,0009,13313,1.4,2022 UFA,ROSTER,1
2022,22,0009,12791,1.3,2022 UFA,ROSTER,1
2022,22,0009,15852,0.82,2022 5.20,ROSTER,2
2022,22,0009,14302,1.3,2022 UFA,ROSTER,1
2022,22,0009,16010,0.9,2022 UFA,ROSTER,1
2022,22,0009,13590,7.01,2021 EXT,ROSTER,4
2022,22,0009,14162,12.27,2022 iEXT,ROSTER,4
