season,contractInfo,id,salary,contractYear,conference,asof
2018,2018 UFA,11076,0.6,2.0,0,
2018,2017 UFA,10948,0.66,1.0,0,
2018,2018 NEFT,11244,11.16,1.0,0,
2018,2018 3.16,13619,1.0,2.0,0,
2018,Inaugural,12239,6.05,2.0,0,
2018,2018 UFA,10807,1.1,1.0,0,
2018,2018 UFA,11830,1.2,1.0,0,
2018,Inaugural,9310,1.33,1.0,0,
2018,2018 UFA,10280,1.1,2.0,0,
2018,2018 6.12,13682,0.6,4.0,0,
2018,2017 UFA,13232,2.42,2.0,0,
2018,2018 UFA,13250,1.1,2.0,0,
2018,2018 1.13,13633,2.4,4.0,0,
2018,2018 FRFA,10778,3.1,1.0,0,
2018,Inaugural,11772,1.45,1.0,0,
2018,2018 UFA,13882,0.6,2.0,0,
2018,2017 EXT,13299,0.99,2.0,0,
2018,2018 UFA,13114,1.4,1.0,0,
2018,2018 UFA,11375,0.6,1.0,0,
2018,2017 UFA,8444,0.66,1.0,0,
2018,2017 B/R,10773,14.52,2.0,0,
2018,2018 UFA,12443,1.2,2.0,0,
2018,2017 2.11,13164,1.54,3.0,0,
2018,2018 UFA,12596,1.1,2.0,0,
2018,2018 UFA,13989,0.6,3.0,0,
2018,2018 4.10,13700,0.8,4.0,0,
2018,2018 B/R,11680,13.3,3.0,0,
2018,2017 5.01,13224,0.66,3.0,0,
2018,2018 UFA,13601,0.6,3.0,0,
2018,Inaugural,11769,4.84,1.0,0,
2018,2018 UFA,13202,1.1,2.0,0,
2018,2018 UFA,12687,0.6,2.0,0,
2018,2018 UFA,13632,0.6,3.0,0,
2018,2017 UFA,7578,0.66,1.0,0,
2018,2016 2.10,12705,1.69,2.0,0,
2018,2018 UFA,13353,0.6,1.0,0,
2018,2017 SRFA,11672,2.42,2.0,0,
2018,Inaugural,9866,5.57,1.0,0,
2018,2018 2.14,13733,1.4,4.0,0,
2018,2018 FRFA,10389,3.1,2.0,0,
2018,2018 6.09,13687,0.6,3.0,0,
2018,2018 EXT,13614,1.68,4.0,0,
2018,2018 UFA,12985,1.1,2.0,0,
2018,2018 UFA,10285,1.1,2.0,0,
2018,2018 B/R,12187,5.0,4.0,0,
2018,2018 UFA,12791,0.6,2.0,0,
2018,2018 UFA,12826,1.1,2.0,0,
2018,2018 B/R,10695,6.2,4.0,0,
2018,2018 UFA,12956,1.1,1.0,0,
2018,2018 UFA,8670,0.6,2.0,0,
2018,Inaugural,11721,8.71,3.0,0,
2018,2017 3.07,13234,1.21,3.0,0,
2018,2018 UFA,13909,0.6,1.0,0,
2018,2018 EXT,13116,4.62,6.0,0,
2018,Inaugural,7391,7.87,1.0,0,
