season,contractInfo,id,salary,contractYear,conference
2025,2025 4.10,17098,1.01,4,0
2025,2025 5.04,17036,0.96,4,0
2025,2022 4.15,15693,1.17,1,0
2025,2025 oEXT,15261,8.68,1,0
2025,2024 SRFA,15452,5.38,2,0
2025,2024 iEXT,13223,2.32,1,0
2025,2025 UFA,16712,2.55,4,0
2025,2025 R/F,13138,1,2,0
2025,2025 UFA,12221,9.50,2,0
2025,2025 5.02,17064,0.96,4,0
2025,2025 1.03,17074,7.03,4,0
2025,2024 iEXT,14783,23.52,5,0
2025,2022 1.11,15805,3.69,1,0
2025,2023 2.16,16183,1.50,2,0
2025,2025 UFA,17193,1,1,0
2025,2023 UDFA,16207,0.98,1,0
2025,2024 4.06,16598,1.06,3,0
2025,2025 R/F,16711,1,2,0
2025,2025 R/F,16457,1,2,0
2025,2025 UDFA,17194,0.90,3,0
2025,2025 R/F,13738,1,2,0
2025,2021 EXT,13593,22.74,1,0
2025,2025 R/F,14252,1,1,0
2025,2025 R/F,15921,1,2,0
2025,2024 UFA,14073,18.81,1,0
2025,2024 B/R,13714,5.15,2,0
2025,2025 4.05,17055,1.04,4,0
2025,2025 UDFA,17201,0.90,3,0
2025,2025 B/R,12305,5.50,1,0
2025,2025 1.01,17042,9.82,4,0
2025,2024 NEFToff,14836,41.25,3,0
2025,2025 UFA,14858,1.10,1,0
2025,2024 4.15,16662,1.02,2,0
2025,2024 UFA,14894,1.87,2,0
2025,2025 ERFA,14860,1.10,1,0
2025,2025 ORFA1,14833,8.80,4,0
2025,2025 UFA,14924,1,1,0
2025,2022 2.05,15809,2.24,1,0
2025,2025 UFA,14861,1.80,1,0
2025,2025 1.11,17048,3.10,4,0
2025,2025 UFA,13764,3.87,3,0
2025,2025 UFA,17079,1,1,0
2025,2024 3.14,16649,1.17,3,0
2025,2025 UFA,14095,1.80,1,0
2025,2025 5.05,17127,0.96,4,0
2025,2023 1.09,16188,3.73,2,0
2025,2025 B/R,13319,10.50,1,0
2025,2024 UFA,14910,3.25,1,0
2025,2025 UFA,12741,5.13,2,0
2025,2025 UFA,14059,6,1,0
