year,name,draft_team,stats_global_id,position,id,team,draft_year,twitter_username,cbs_id,stats_id,fleaflicker_id,status,rotoworld_id,jersey,rotowire_id,college,weight,height,draft_pick,draft_round,sportsdata_id,birthdate,nfl_id,espn_id
2018,"Jones, Colin",SFO,322865,S,10422,CAR,2011,,1823836,24977,,,6694,42,7542,TCU,205,72,25,6,fc506583-7edf-4e40-8047-83f60bea67a2,562309200,colinjones/2499257,14117
2018,"Bosher, Matt",ATL,323389,PN,10423,ATL,2011,MattBosher5,1823786,24979,,,6696,5,7562,Miami,208,72,27,6,947ba5a9-71de-4cc5-839a-884cfa49544b,561531600,mattbosher/2495124,14073
2018,"Thomas, J.T.",CHI,339737,LB,10426,FA,2011,,1272413,24982,,,6699,52,7581,West Virginia,236,73,30,6,,587624400,j.t.thomas/2508132,14216
2018,"Green, Virgil",DEN,323254,TE,10432,LAC,2011,VGreen85,1130615,24991,7502,,6570,88,7416,Nevada,255,77,1,7,6ef43c53-53d7-4b0f-ad99-17664d663ae8,586587600,virgilgreen/2495288,14085
2018,"Guy, Lawrence",GBP,461090,DT,10457,NEP,2011,thatLGUY,1631775,25020,,,6735,74,7472,Arizona State,315,76,30,7,0861a57d-b468-4c21-ba3a-7523b6838ed0,637650000,lawrenceguy/2495481,14185
2018,"Smith, Malcolm",NOS,399333,LB,10465,SFO,2011,MalcSmitty,1823894,25029,,,6744,56,7606,USC,229,72,39,7,bcebf5f0-0224-4cc8-9a78-1aefd55bfc87,615618000,malcolmsmith/2499278,14214
2018,"Forbath, Kai",FA,331927,PK,10487,JAC,2011,KaiForbath,1117835,25648,,,7362,2,7544,UCLA,197,71,,,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,557557200,kaiforbath/2495150,14816
2018,"Herzlich, Mark",FA,331928,LB,10488,FA,2011,MarkHerzlich,1243115,25509,,,6534,44,7479,Boston College,247,77,,,30be69a5-f203-49dc-a354-19e4733a80da,557470800,markherzlich/2495164,14262
2018,"Tolzien, Scott",FA,332096,QB,10498,FA,2011,,1117814,25171,,,6893,16,7663,Wisconsin,215,74,,,32d5dc32-c443-4db7-8709-4c6238a3000b,557730000,scotttolzien/2495425,14353
2018,"Pryor, Terrelle",FA,457289,WR,10500,FA,2011,TerrellePryor,1631107,25681,,,6757,10,7640,Ohio State,228,76,,,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,614322000,terrellepryor/2531332,14851
2018,"Bailey, Dan",FA,333899,PK,10506,MIN,2011,danbailey95,1689664,25427,,,7144,5,7546,Oklahoma State,190,72,,,beb64618-614c-49f7-a3aa-c0c75b7839ea,570171600,danbailey/2495259,14322
2018,"Bellore, Nick",FA,382555,RB,10514,DET,2011,NBELLORE54,1244136,25295,,,7015,57,7504,Central Michigan,250,73,,,eeb9e3f4-e378-44ca-94b6-a724011ad710,610952400,nickbellore/2495262,14471
2018,"Baldwin, Doug",FA,399777,WR,10527,SEA,2011,DougBaldwinJr,1244486,25105,,,6825,89,7963,Stanford,192,70,,,e1b29179-074b-4c91-8797-763b76ac618a,590821200,dougbaldwin/2530747,14221
2018,"Paysinger, Spencer",FA,335048,LB,10529,FA,2011,SpittyP,1854817,25508,8065,,7225,49,7944,Oregon,249,74,,,284f5b6f-cb48-42b6-97be-d1957e4d0bdb,583477200,spencerpaysinger/2530855,14648
2018,"Johnson, Tom",FA,248299,DT,10540,MIN,2010,,1109438,24778,,,6514,96,4662,Southern Miss,285,75,,,ee305db3-cdaf-4eb3-b950-7146d51eac34,462690000,tomjohnson/2506779,10001
2018,"McClellan, Albert",FA,286877,LB,10549,NEP,2010,,1125328,24358,,,6127,47,7285,Marshall,235,74,,,74c595a3-b683-49b3-90f3-fd8327857b1d,518245200,albertmcclellan/496814,13851
2018,"Addison, Mario",FA,468947,DE,10554,CAR,2011,HIT_STIQ4,1853150,25147,7753,,6867,97,7889,Troy,260,75,,,ea2fda83-2817-4884-9e85-973263a4e069,557902800,marioaddison/2530474,14320
2018,"Unrein, Mitch",FA,323806,DT,10560,TBB,2010,MitchellJUnrein,1116194,24451,7134,,6216,98,7319,Wyoming,301,76,,,d867198a-36ec-4a99-9037-a093216f99d8,543646800,mitchunrein/2508016,13860
2018,"Harris, Chris",FA,381129,CB,10592,DEN,2011,ChrisHarrisJr,1853171,25189,,,6910,19,7924,Kansas,199,70,,,de185684-3a02-4e63-b2b1-405e562b3a77,614149200,chrisharris/2530510,14398
2018,"Hawkins, Andrew",FA,273276,WR,10601,FA,2011,YoungBabyHawk,1803774,24774,7348,,6505,16,7989,Toledo,180,67,,,308cde80-c1e5-46a8-8df4-19a191b49c95,510814800,andrewhawkins/2508097,13958
2018,"Parker, Ron",FA,512802,S,10610,FA,2011,ghost_0836,1891920,25090,,,6811,38,7817,Newberry,206,72,,,e9a0297a-0b34-4c55-af1f-ca113d672195,556174800,ronparker/2530794,14297
2018,"Moore, Sterling",FA,512674,CB,10626,FA,2011,SterlingMoore,1857552,25401,8264,,7118,30,7937,SMU,202,70,,,036fd3fc-e7a0-4f75-9019-8a5badff5e5f,634021200,sterlingmoore/2531177,14802
2018,"Jones, Chris",FA,404804,PN,10642,DAL,2011,,1264783,25431,,,7148,6,8021,Carson-Newman,205,72,,,4d1f4c44-3666-4014-95fc-4b0013b6d9a5,617000400,chrisjones/2539987,14723
2018,"Aiken, Kamar",FA,400317,WR,10651,FA,2011,,1853727,25379,,,7097,81,8000,Central Florida,216,74,,,3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88,612507600,,14583
2018,"Bynes, Josh",FA,401769,LB,10653,ARI,2011,bynestime56,1264599,25358,7994,,7076,56,7740,Auburn,235,73,,,87745a22-9ce8-4a5a-8935-dcc102ce4b18,619938000,joshbynes/2530491,14519
2018,"Jacobs, Ben",FA,387834,LB,10662,CAR,2011,,1857137,25593,,,7315,53,7759,Fresno State,240,76,,,7bf442fb-62c6-4cf5-8d5d-a8ccd6daa80b,577256400,benjacobs/2531080,14739
2018,"Bowles, Todd",FA,0,Coach,10671,FA,0,,,,,,8353,,,,205,74,,,f91993af-d418-4c0c-8ad0-9240f4d30d06,,,
2018,"Holmes, Andre",FA,557954,WR,10674,FA,2011,dreholmes18,1724424,25234,8219,,6954,18,7405,Hillsdale,210,76,,,996974b8-2e0a-47d9-90a7-c3455192d06b,582440400,andreholmes/2495453,14403
2018,"Thornton, Cedric",FA,407045,DT,10675,FA,2011,MrICanDueDat,1704674,25048,,,6771,92,7874,Southern Arkansas,290,76,,,1e110bd9-4eca-410f-82ed-e4d8af131574,582872400,cedricthornton/2495356,14310
2018,"Draughn, Shaun",FA,323336,RB,10689,FA,2011,2ShaunDraughn0,1117379,25481,7966,,7197,25,8022,North Carolina,214,71,,,bcce08ec-736e-40c1-bb8d-ebe2d489f331,565851600,,14518
2018,"Allen, Dennis",FA,0,Coach,10693,FA,0,,,,,,,,,,,,,,ef1b4704-0ce4-4977-a882-2b14413dd2d2,85986000,,
2018,"Philbin, Joe",FA,0,Coach,10694,GBP,0,,,514681,,,,,,,,,,,,,,
2018,"Luck, Andrew",IND,461175,QB,10695,IND,2012,,1631912,25711,,,6439,12,7237,Stanford,240,76,1,1,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,621579600,andrewluck/2533031,14874
2018,"Griffin III, Robert",WAS,450794,QB,10696,BAL,2012,RGIII,1620788,25712,,,7406,3,8023,Baylor,213,74,2,1,8dfb370d-460c-4bfc-9d62-888687248783,634798800,robertgriffiniii/2533033,14875
2018,"Tannehill, Ryan",MIA,380960,QB,10697,MIA,2012,ryantannehill1,1273654,25718,8514,,7417,17,8040,Texas A&M,217,76,8,1,5812204c-6dae-4450-8011-99e0f72864ac,585982800,ryantannehill/2532956,14876
2018,"Weeden, Brandon",CLE,397523,QB,10698,HOU,2012,bweeden3,1272538,25732,8445,,7480,3,8056,Oklahoma State,227,75,22,1,01291a8d-d97c-4d88-b497-b5ad4b72f626,434955600,brandonweeden/2532970,14878
2018,"Foles, Nick",PHI,403189,QB,10699,PHI,2012,NFoles_9,1631750,25798,,,7475,9,8066,Arizona,243,78,25,3,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,601275600,nickfoles/2532842,14877
2018,"Cousins, Kirk",WAS,403308,QB,10700,MIN,2012,KirkCousins8,1272574,25812,8625,,7486,18,8057,Michigan State,205,75,7,4,bbd0942c-6f77-4f83-a6d0-66ec6548019e,587970000,kirkcousins/2532820,14880
2018,"Osweiler, Brock",DEN,496553,QB,10702,MIA,2012,bosweiler17,1664777,25767,,,7450,8,8033,Arizona State,240,79,25,2,0847010c-9a77-4f0b-9d63-c8b4b224d263,659250000,brockosweiler/2533436,14879
2018,"Wilson, Russell",SEA,401534,QB,10703,SEA,2012,DangeRussWilson,1272242,25785,8598,,7460,3,8043,Wisconsin,206,71,12,3,409d4cac-ee90-4470-9710-ebe671678339,596782800,russellwilson/2532975,14881
2018,"Miller, Lamar",MIA,508924,RB,10708,HOU,2012,millertime_6,1691169,25807,8512,,7408,26,8008,Miami,221,70,2,4,a212c5d8-67f8-48b9-99be-2c121ee56366,672555600,lamarmiller/2533034,14886
2018,"Martin, Doug",TBB,381806,RB,10709,OAK,2012,DougMartin22,1274369,25741,,,7426,22,8058,Boise State,210,69,31,1,5c2a0c83-e18a-43dd-bd65-704771157e42,600670800,dougmartin/2532899,14885
2018,"Turbin, Robert",SEA,402163,RB,10714,FA,2012,RobT_33,1272825,25816,8596,,7423,33,8028,Utah State,225,70,11,4,63fd9abe-4bdf-4611-9497-0c67e030ce01,628578000,robertturbin/2533460,14894
2018,"Blackmon, Justin",JAC,460314,WR,10719,FA,2012,JustBlack81,1630860,25715,8381,,7402,14,8006,Oklahoma State,210,73,5,1,1d352cd4-86c0-4741-9d8b-c131e05997cc,631861200,justinblackmon/2533038,14907
2018,"Wright, Kendall",TEN,459364,WR,10720,FA,2012,,1632385,25730,8622,,7425,12,8091,Baylor,185,70,20,1,441e8866-33f1-4820-9fa3-3aa2c7535975,626850000,kendallwright/2532977,14909
